time_period,flow_breakdown,obs_value,assessment_code
2024-01-01,CLOSTLV,652110.0,1
2024-01-01,STOCKCH,4802.0,1
2024-02-01,CLOSTLV,674799.0,1
2024-02-01,STOCKCH,22689.0,1
2024-03-01,CLOSTLV,675398.0,1
2024-03-01,STOCKCH,599.0,1
2024-04-01,CLOSTLV,695015.0,1
2024-04-01,STOCKCH,19617.0,1
2024-05-01,CLOSTLV,688977.0,1
2024-05-01,STOCKCH,-6038.0,1
2024-06-01,CLOSTLV,677477.0,1
2024-06-01,STOCKCH,-11500.0,1
2024-07-01,CLOSTLV,666895.0,1
2024-07-01,STOCKCH,-10582.0,1
2024-08-01,CLOSTLV,661264.0,1
2024-08-01,STOCKCH,-5631.0,1
2024-09-01,CLOSTLV,663121.0,1
2024-09-01,STOCKCH,1857.0,1
2024-10-01,CLOSTLV,675109.0,1
2024-10-01,STOCKCH,11988.0,1
2024-11-01,CLOSTLV,677366.0,1
2024-11-01,STOCKCH,2257.0,1
2024-12-01,CLOSTLV,671557.0,1
2024-12-01,STOCKCH,-5809.0,1
2025-01-01,CLOSTLV,678106.0,1
2025-01-01,STOCKCH,6549.0,1
2025-02-01,CLOSTLV,689362.0,1
2025-02-01,STOCKCH,11256.0,1
2025-03-01,CLOSTLV,683708.0,1
2025-03-01,STOCKCH,-5654.0,1
2025-04-01,CLOSTLV,689502.0,1
2025-04-01,STOCKCH,5794.0,1
2025-05-01,CLOSTLV,687897.0,1
2025-05-01,STOCKCH,-1605.0,1
2025-06-01,CLOSTLV,672223.0,1
2025-06-01,STOCKCH,-15674.0,1
2025-07-01,CLOSTLV,678476.0,1
2025-07-01,STOCKCH,6253.0,1
2025-08-01,CLOSTLV,677551.0,1
2025-08-01,STOCKCH,-925.0,1
2025-09-01,CLOSTLV,670151.0,1
2025-09-01,STOCKCH,-7400.0,1
2025-10-01,CLOSTLV,685906.0,1
2025-10-01,STOCKCH,15755.0,1
2025-11-01,CLOSTLV,687800.0,1
2025-11-01,STOCKCH,1894.0,1
2025-12-01,CLOSTLV,680023.0,1
2025-12-01,STOCKCH,-7777.0,1
2026-01-01,CLOSTLV,693262.0,1
2026-01-01,STOCKCH,13239.0,1
2007-01-01,CLOSTLV,906974.0,1
2007-01-01,STOCKCH,11093.0,1
2007-02-01,CLOSTLV,902844.0,1
2007-02-01,STOCKCH,-4130.0,1
2007-03-01,CLOSTLV,912043.0,1
2007-03-01,STOCKCH,9199.0,1
2007-04-01,CLOSTLV,920316.0,1
2007-04-01,STOCKCH,8273.0,1
2007-05-01,CLOSTLV,929048.0,1
2007-05-01,STOCKCH,8732.0,1
2007-06-01,CLOSTLV,931408.0,1
2007-06-01,STOCKCH,2360.0,1
2007-07-01,CLOSTLV,917696.0,1
2007-07-01,STOCKCH,-13712.0,1
2007-08-01,CLOSTLV,907543.0,1
2007-08-01,STOCKCH,-10153.0,1
2007-09-01,CLOSTLV,906678.0,1
2007-09-01,STOCKCH,-865.0,1
2007-10-01,CLOSTLV,903940.0,1
2007-10-01,STOCKCH,-2738.0,1
2007-11-01,CLOSTLV,900906.0,1
2007-11-01,STOCKCH,-3034.0,1
2007-12-01,CLOSTLV,890242.0,1
2007-12-01,STOCKCH,-10664.0,1
2008-01-01,CLOSTLV,899825.0,1
2008-01-01,STOCKCH,9583.0,1
2008-02-01,CLOSTLV,903562.0,1
2008-02-01,STOCKCH,3737.0,1
2008-03-01,CLOSTLV,914662.0,1
2008-03-01,STOCKCH,11100.0,1
2008-04-01,CLOSTLV,919221.0,1
2008-04-01,STOCKCH,4559.0,1
2008-05-01,CLOSTLV,910577.0,1
2008-05-01,STOCKCH,-8644.0,1
2008-06-01,CLOSTLV,905856.0,1
2008-06-01,STOCKCH,-4721.0,1
2008-07-01,CLOSTLV,906174.0,1
2008-07-01,STOCKCH,318.0,1
2008-08-01,CLOSTLV,911421.0,1
2008-08-01,STOCKCH,5247.0,1
2008-09-01,CLOSTLV,907003.0,1
2008-09-01,STOCKCH,-4418.0,1
2008-10-01,CLOSTLV,911347.0,1
2008-10-01,STOCKCH,4344.0,1
2008-11-01,CLOSTLV,915395.0,1
2008-11-01,STOCKCH,4048.0,1
2008-12-01,CLOSTLV,914980.0,1
2008-12-01,STOCKCH,-415.0,1
2009-01-01,CLOSTLV,935656.0,1
2009-01-01,STOCKCH,20676.0,1
2009-02-01,CLOSTLV,938823.0,1
2009-02-01,STOCKCH,3167.0,1
2009-03-01,CLOSTLV,953571.0,1
2009-03-01,STOCKCH,14748.0,1
2009-04-01,CLOSTLV,960180.0,1
2009-04-01,STOCKCH,6609.0,1
2009-05-01,CLOSTLV,957730.0,1
2009-05-01,STOCKCH,-2450.0,1
2009-06-01,CLOSTLV,951721.0,1
2009-06-01,STOCKCH,-6009.0,1
2009-07-01,CLOSTLV,949746.0,1
2009-07-01,STOCKCH,-1975.0,1
2009-08-01,CLOSTLV,944418.0,1
2009-08-01,STOCKCH,-5328.0,1
2009-09-01,CLOSTLV,944580.0,1
2009-09-01,STOCKCH,162.0,1
2009-10-01,CLOSTLV,943271.0,1
2009-10-01,STOCKCH,-1309.0,1
2009-11-01,CLOSTLV,947762.0,1
2009-11-01,STOCKCH,4491.0,1
2009-12-01,CLOSTLV,939807.0,1
2009-12-01,STOCKCH,-7955.0,1
2010-01-01,CLOSTLV,942908.0,1
2010-01-01,STOCKCH,3101.0,1
2010-02-01,CLOSTLV,946282.0,1
2010-02-01,STOCKCH,3374.0,1
2010-03-01,CLOSTLV,957301.0,1
2010-03-01,STOCKCH,11019.0,1
2010-04-01,CLOSTLV,960187.0,1
2010-04-01,STOCKCH,2886.0,1
2010-05-01,CLOSTLV,958108.0,1
2010-05-01,STOCKCH,-2079.0,1
2010-06-01,CLOSTLV,962311.0,1
