padd,padd_name,model,fold,train_n,test_n,train_rmse_kb,test_rmse_kb
1,East Coast,Persistence,1,22,21,1130.1384267585822,1755.0191967475403
1,East Coast,Linear regression,1,22,21,831.62788993602,2863.4524933006705
1,East Coast,Random forest,1,22,21,1060.9856223342379,2328.733443695832
1,East Coast,XGBoost,1,22,21,970.0831913920164,2207.417087769594
1,East Coast,Neural network,1,22,21,749.6546891275705,2831.372910912343
1,East Coast,Persistence,2,43,21,1468.9073854320238,889.9610210832939
1,East Coast,Linear regression,2,43,21,1330.216201171202,1090.9498857122883
1,East Coast,Random forest,2,43,21,1208.5301279192965,1712.3588741479275
1,East Coast,XGBoost,2,43,21,1067.6962449973748,1533.2207663290608
1,East Coast,Neural network,2,43,21,1610.5001417232054,880.3460895891978
1,East Coast,Persistence,3,64,21,1307.509954551016,1070.777243296618
1,East Coast,Linear regression,3,64,21,1198.544504100526,939.8265489830477
1,East Coast,Random forest,3,64,21,1060.8525869665687,934.4759926237452
1,East Coast,XGBoost,3,64,21,942.272428847402,985.2255936671307
1,East Coast,Neural network,3,64,21,1113.303781786611,2735.817473452677
1,East Coast,Persistence,4,85,21,1253.1893805524414,1213.3237309928772
1,East Coast,Linear regression,4,85,21,1132.8685338010087,2141.6384434420806
1,East Coast,Random forest,4,85,21,978.6581244529458,1887.9370563656562
1,East Coast,XGBoost,4,85,21,893.1055494732368,1842.3264892704515
1,East Coast,Neural network,4,85,21,1113.8268311848744,2027.8666231646673
1,East Coast,Persistence,5,106,21,1245.3928379249323,2197.349919031256
1,East Coast,Linear regression,5,106,21,1183.8316429970102,2283.8051320975637
1,East Coast,Random forest,5,106,21,981.4683856601621,3728.0354923825716
1,East Coast,XGBoost,5,106,21,914.9508137331724,3743.6264199530665
1,East Coast,Neural network,5,106,21,1225.446458424135,3147.067102669705
1,East Coast,Persistence,6,127,21,1446.6949354374863,2123.4073135052586
1,East Coast,Linear regression,6,127,21,1392.7230130303824,2030.3948582846274
1,East Coast,Random forest,6,127,21,1177.9933368780391,2191.8489105441167
1,East Coast,XGBoost,6,127,21,1069.0114462226516,2068.8816658460037
1,East Coast,Neural network,6,127,21,1264.908557826053,1658.2970007857953
1,East Coast,Persistence,7,148,21,1560.6817269074122,1231.3129461792284
1,East Coast,Linear regression,7,148,21,1489.5162031380141,1532.2063721186857
1,East Coast,Random forest,7,148,21,1251.0698686906237,1506.1234611622808
1,East Coast,XGBoost,7,148,21,1137.2732753617602,1737.5845795775062
1,East Coast,Neural network,7,148,21,1643.8270761421513,992.8076894837963
1,East Coast,Persistence,8,169,21,1523.6332045514873,735.0605417242855
1,East Coast,Linear regression,8,169,21,1469.6296051485492,1021.3941695236266
1,East Coast,Random forest,8,169,21,1236.6964425432222,2507.130768493996
1,East Coast,XGBoost,8,169,21,1160.5681569287542,2823.891972670141
1,East Coast,Neural network,8,169,21,1345.351325584023,935.7898282269186
1,East Coast,Persistence,9,190,21,1457.5989990752819,670.8718563325247
1,East Coast,Linear regression,9,190,21,1419.3001825027584,788.0078134077953
1,East Coast,Random forest,9,190,21,1202.1143701534486,631.6243895676561
1,East Coast,XGBoost,9,190,21,1145.9246512100374,661.646346030174
1,East Coast,Neural network,9,190,21,1263.2574816022234,631.9680311982904
1,East Coast,Persistence,10,211,21,1399.262618945154,817.224134319518
1,East Coast,Linear regression,10,211,21,1367.7168248777878,827.2210705260939
1,East Coast,Random forest,10,211,21,1153.1621634898418,804.4917404119568
1,East Coast,XGBoost,10,211,21,1098.3592370095096,743.8876060644529
1,East Coast,Neural network,10,211,21,1347.8147513841534,797.9172889558556
2,Midwest,Persistence,1,22,21,2813.0651028241905,4161.3139694549545
2,Midwest,Linear regression,1,22,21,2300.1251486540864,3803.0732891106045
2,Midwest,Random forest,1,22,21,4392.970735219237,20684.3145069998
2,Midwest,XGBoost,1,22,21,3898.5727854144116,19722.47590495337
2,Midwest,Neural network,1,22,21,1762.865915559164,18579.520404750547
2,Midwest,Persistence,2,43,21,3536.3250830520738,2859.2358786087952
2,Midwest,Linear regression,2,43,21,2934.9478666683963,5167.274247087541
2,Midwest,Random forest,2,43,21,4289.130287929168,11876.977481196642
2,Midwest,XGBoost,2,43,21,3331.962794141086,10378.555161683289
2,Midwest,Neural network,2,43,21,4568.92697185227,12345.130124939938
2,Midwest,Persistence,3,64,21,3329.3684062258717,4023.0704632632214
2,Midwest,Linear regression,3,64,21,2828.5411154914764,7507.400335926599
2,Midwest,Random forest,3,64,21,3557.3543484657184,10682.448681326672
2,Midwest,XGBoost,3,64,21,2893.865229619506,10693.706947385683
2,Midwest,Neural network,3,64,21,2720.6982753276,4038.271050183425
2,Midwest,Persistence,4,85,21,3513.5158024573684,6247.620991034831
2,Midwest,Linear regression,4,85,21,3333.1997920388517,5663.851970773507
2,Midwest,Random forest,4,85,21,3461.401477392893,19307.908953057584
2,Midwest,XGBoost,4,85,21,3075.694275110675,19886.788740471304
2,Midwest,Neural network,4,85,21,3287.250575239855,11968.363714996116
2,Midwest,Persistence,5,106,21,4199.051509028163,3776.3534249956256
2,Midwest,Linear regression,5,106,21,3833.071152002649,3238.6040881319086
2,Midwest,Random forest,5,106,21,3972.325928105725,21784.409689233755
2,Midwest,XGBoost,5,106,21,3823.6418124688184,24564.876394076276
2,Midwest,Neural network,5,106,21,4659.2582079883905,14155.40668635502
2,Midwest,Persistence,6,127,21,4132.141451641987,7219.621191091479
2,Midwest,Linear regression,6,127,21,3737.135275875925,7330.8418436997235
2,Midwest,Random forest,6,127,21,3732.5989547401396,8525.380145728992
2,Midwest,XGBoost,6,127,21,3589.338893327781,8447.273256021188
2,Midwest,Neural network,6,127,21,6122.203433935207,18075.741796948634
2,Midwest,Persistence,7,148,21,4695.494419610633,7291.082034793961
2,Midwest,Linear regression,7,148,21,4363.914476104104,7800.051782205445
2,Midwest,Random forest,7,148,21,4053.447090682931,6670.258273014669
2,Midwest,XGBoost,7,148,21,3827.942752182169,6309.016249900591
2,Midwest,Neural network,7,148,21,5252.363172246279,6442.519374647944
2,Midwest,Persistence,8,169,21,5090.548303433118,5107.6084143447915
2,Midwest,Linear regression,8,169,21,4859.847550528357,4889.84681765243
2,Midwest,Random forest,8,169,21,4267.759719142534,6160.679472110154
2,Midwest,XGBoost,8,169,21,4122.731080301376,5721.160126551625
2,Midwest,Neural network,8,169,21,5618.392385757138,5987.026326872207
2,Midwest,Persistence,9,190,21,5092.436703996479,6245.814423237678
2,Midwest,Linear regression,9,190,21,4852.017138980282,5913.9153665854365
2,Midwest,Random forest,9,190,21,4184.071049937008,6785.935853100821
2,Midwest,XGBoost,9,190,21,4163.57043744845,5900.031028705623
2,Midwest,Neural network,9,190,21,5686.647457158479,5915.348022409203
2,Midwest,Persistence,10,211,21,5218.662897788886,3561.785714524454
2,Midwest,Linear regression,10,211,21,4964.973592794163,4035.157202760312
2,Midwest,Random forest,10,211,21,4296.842146494052,4422.297841066534
2,Midwest,XGBoost,10,211,21,4260.28599113295,3935.123319769235
2,Midwest,Neural network,10,211,21,5563.9640636279955,7824.490579913189
3,Gulf Coast,Persistence,1,22,21,8084.588989946466,8403.355795100408
3,Gulf Coast,Linear regression,1,22,21,6862.772943858745,14897.353266773689
3,Gulf Coast,Random forest,1,22,21,10249.774167640633,38319.37373609382
3,Gulf Coast,XGBoost,1,22,21,9559.439478955399,37753.688714787895
3,Gulf Coast,Neural network,1,22,21,7300.548485389605,635831.9037432123
3,Gulf Coast,Persistence,2,43,21,8241.806222785966,9954.457874310814
3,Gulf Coast,Linear regression,2,43,21,7689.092240116056,9557.811610491397
3,Gulf Coast,Random forest,2,43,21,8709.282235847613,13841.660763221465
3,Gulf Coast,XGBoost,2,43,21,7372.509533274481,11487.322620795223
3,Gulf Coast,Neural network,2,43,21,10704.67575505789,14005.522298068008
3,Gulf Coast,Persistence,3,64,21,8840.419218177665,7847.133889880705
3,Gulf Coast,Linear regression,3,64,21,7998.474155053517,8299.863655174679
3,Gulf Coast,Random forest,3,64,21,8147.623180281029,8386.802125953634
3,Gulf Coast,XGBoost,3,64,21,7025.99570912991,8770.198147229437
3,Gulf Coast,Neural network,3,64,21,7863.292528055175,21021.315059258235
3,Gulf Coast,Persistence,4,85,21,8605.689281618568,8370.182332883453
3,Gulf Coast,Linear regression,4,85,21,7823.41108952676,8301.716472675698
3,Gulf Coast,Random forest,4,85,21,7709.171249523143,17035.98729626072
3,Gulf Coast,XGBoost,4,85,21,6843.510520182149,19450.241113013293
3,Gulf Coast,Neural network,4,85,21,8636.585504247001,12762.730348350813
3,Gulf Coast,Persistence,5,106,21,8559.546958893878,11194.624054173759
3,Gulf Coast,Linear regression,5,106,21,7664.2332831512,12540.026917567484
3,Gulf Coast,Random forest,5,106,21,7840.526113022768,45230.34466737741
3,Gulf Coast,XGBoost,5,106,21,7141.984468842769,44392.31349531716
3,Gulf Coast,Neural network,5,106,21,8159.909950026158,22639.632813139768
3,Gulf Coast,Persistence,6,127,21,9048.3788259529,9066.627721379942
3,Gulf Coast,Linear regression,6,127,21,8214.68465497299,11344.837636085918
3,Gulf Coast,Random forest,6,127,21,8640.276422469204,10532.427926856279
3,Gulf Coast,XGBoost,6,127,21,8196.628834860045,11860.986524997326
3,Gulf Coast,Neural network,6,127,21,9350.884778546628,27846.377837596694
3,Gulf Coast,Persistence,7,148,21,9050.97043624814,13699.724870369095
3,Gulf Coast,Linear regression,7,148,21,8490.750763202195,12984.841008396606
3,Gulf Coast,Random forest,7,148,21,8452.025565257549,13904.528987331516
3,Gulf Coast,XGBoost,7,148,21,8134.035764083625,15533.670091696655
3,Gulf Coast,Neural network,7,148,21,10138.016730276478,21729.108761113115
3,Gulf Coast,Persistence,8,169,21,9749.981470472454,18729.63472427484
3,Gulf Coast,Linear regression,8,169,21,9156.245316550863,26503.490857626024
3,Gulf Coast,Random forest,8,169,21,8869.181444095057,109240.81744435652
3,Gulf Coast,XGBoost,8,169,21,8660.904489531355,105170.95931718237
3,Gulf Coast,Neural network,8,169,21,10252.75749633318,24471.128015776798
3,Gulf Coast,Persistence,9,190,21,11105.305747349114,10236.436419547017
3,Gulf Coast,Linear regression,9,190,21,10275.777220994967,16790.651305704843
3,Gulf Coast,Random forest,9,190,21,19251.660642808587,139058.85881579836
3,Gulf Coast,XGBoost,9,190,21,17931.908800604095,131606.3802441494
3,Gulf Coast,Neural network,9,190,21,11575.786426604938,28376.29685408278
3,Gulf Coast,Persistence,10,211,21,11021.900265582835,15294.82765201236
3,Gulf Coast,Linear regression,10,211,21,10444.725671597083,13427.491376939399
3,Gulf Coast,Random forest,10,211,21,11984.891424744541,16124.231833482543
3,Gulf Coast,XGBoost,10,211,21,10613.81583419565,22274.448923011467
3,Gulf Coast,Neural network,10,211,21,15530.833385691287,21975.710742496427
4,Rocky Mountain,Persistence,1,22,21,679.0338055582425,711.8575633342604
4,Rocky Mountain,Linear regression,1,22,21,496.8006292366081,1301.004900225805
4,Rocky Mountain,Random forest,1,22,21,616.096956739416,1743.840036766121
4,Rocky Mountain,XGBoost,1,22,21,576.5529575478686,1740.7452506400662
4,Rocky Mountain,Neural network,1,22,21,733.3907607217417,2037.870569755328
4,Rocky Mountain,Persistence,2,43,21,695.2576400490049,704.8652691252759
4,Rocky Mountain,Linear regression,2,43,21,569.5078493481726,1106.0689989160398
4,Rocky Mountain,Random forest,2,43,21,587.8820179190823,820.5334318873223
4,Rocky Mountain,XGBoost,2,43,21,462.19474678305573,893.4534505127177
4,Rocky Mountain,Neural network,2,43,21,571.8092936712468,1296.9042706224916
4,Rocky Mountain,Persistence,3,64,21,698.4247118516068,726.887886816117
4,Rocky Mountain,Linear regression,3,64,21,646.3964961502265,766.5749378147104
4,Rocky Mountain,Random forest,3,64,21,599.9361795467503,1336.697313618346
4,Rocky Mountain,XGBoost,3,64,21,520.3229849857238,1268.7179553606268
4,Rocky Mountain,Neural network,3,64,21,751.9287394038149,1409.7999887185285
4,Rocky Mountain,Persistence,4,85,21,705.5635961664223,811.1202423926107
4,Rocky Mountain,Linear regression,4,85,21,649.9920958351062,1048.1775696433658
4,Rocky Mountain,Random forest,4,85,21,592.8699966486208,2473.7622868278318
4,Rocky Mountain,XGBoost,4,85,21,528.7336807330794,2458.311633654759
4,Rocky Mountain,Neural network,4,85,21,607.1033143937082,3729.9353348809864
