month,padd,padd_name,forecast_production_kb,forecast_demand_kb,forecast_imports_kb,forecast_exports_kb,forecast_supply_kb,forecast_refinery_demand_kb,forecast_total_demand_kb,forecast_balance_kb,identity_stock_kb,regression_stock_kb
2026-06-01,1,East Coast,1845.2666666666667,20140.74444444444,16840.194444444445,0.0,18685.46111111111,20140.74444444444,20140.74444444444,-1455.2833333333292,7251.716666666671,8941.465869625265
2026-07-01,1,East Coast,1911.7666666666667,19822.44444444444,16385.094444444447,849.6333333333339,18296.861111111113,19822.44444444444,20672.077777777777,-2375.2166666666635,4876.500000000007,9155.619835626498
2026-08-01,1,East Coast,1976.3666666666666,20456.944444444438,16725.29444444444,229.73333333333335,18701.661111111105,20456.944444444438,20686.67777777777,-1985.0166666666664,2891.483333333341,9351.221529072778
2026-09-01,1,East Coast,1939.7666666666664,18615.84444444444,14519.794444444444,401.4333333333334,16459.56111111111,18615.84444444444,19017.277777777774,-2557.7166666666635,333.76666666667734,9529.87814325303
2026-10-01,1,East Coast,2048.6666666666665,18519.044444444437,15906.194444444442,0.0,17954.86111111111,18519.044444444437,18519.044444444437,-564.183333333327,-230.4166666666497,9693.057639442399
2026-11-01,1,East Coast,1924.5666666666666,19440.54444444444,15656.494444444445,0.0,17581.06111111111,19440.54444444444,19440.54444444444,-1859.48333333333,-2089.8999999999796,9842.100808646035
2026-12-01,1,East Coast,1943.5666666666666,20018.54444444444,15181.094444444443,0.0,17124.66111111111,20018.54444444444,20018.54444444444,-2893.8833333333314,-4983.783333333311,9978.232288427569
2027-01-01,1,East Coast,1973.8666666666666,19095.74444444444,15991.394444444444,55.6333333333323,17965.26111111111,19095.74444444444,19151.377777777772,-1186.1166666666613,-6169.899999999972,10102.570625343837
2027-02-01,1,East Coast,1811.9666666666665,14656.844444444436,10960.89444444444,0.0,12772.861111111108,14656.844444444436,14656.844444444436,-1883.9833333333281,-8053.8833333333005,10216.137465665515
2027-03-01,1,East Coast,1947.4666666666667,16720.74444444444,12993.094444444443,0.0,14940.56111111111,16720.74444444444,16720.74444444444,-1780.1833333333307,-9834.066666666631,10319.865949900714
2027-04-01,1,East Coast,1906.4666666666667,18163.74444444444,15140.394444444444,0.0,17046.86111111111,18163.74444444444,18163.74444444444,-1116.8833333333314,-10950.949999999963,10414.60838009649
2027-05-01,1,East Coast,1954.8666666666668,20541.74444444444,16054.394444444444,0.0,18009.26111111111,20541.74444444444,20541.74444444444,-2532.48333333333,-13483.433333333292,10501.143222917955
2026-06-01,2,Midwest,52071.61666666667,121358.65277777778,88094.82777777778,2227.994444444444,140166.44444444444,121358.65277777778,123586.64722222222,16579.797222222216,117195.79722222222,100384.09885125906
2026-07-01,2,Midwest,54296.71666666666,125119.35277777778,90938.82777777777,2493.5944444444435,145235.54444444441,125119.35277777778,127612.94722222222,17622.59722222219,134818.3944444444,99830.33355641493
2026-08-01,2,Midwest,55194.11666666666,126726.75277777777,90850.72777777778,2011.3944444444442,146044.84444444443,126726.75277777777,128738.14722222222,17306.69722222221,152125.09166666662,99159.1768415461
2026-09-01,2,Midwest,54040.21666666666,117656.55277777778,87953.92777777778,1896.7944444444438,141994.14444444445,117656.55277777778,119553.34722222222,22440.79722222223,174565.88888888885,99956.51019647931
