month,padd,demand_kb,exports_kb,imports_kb,production_kb,reported_stock_change_kb,stock_kb,exports_imputed_zero,padd_name,stock_t_kb,stock_t1_actual_kb,demand_outflow_kb,exports_outflow_kb,fundamental_balance_kb,identity_stock_t1_kb,identity_error_kb,regression_stock_t1_kb,regression_stock_change_kb,regression_error_kb,cv_regression_stock_t1_kb,cv_regression_error_kb,cv_fold,sample
2007-01-01,1,46832.0,0.0,44930.0,615.0,-1357.0,13112.0,True,East Coast,13112.0,14335.0,-46832.0,-0.0,-1287.0,11825.0,2510.0,12964.858364844857,-147.14163515514338,1370.1416351551434,,,,initial_train
2007-02-01,1,38438.0,165.0,40166.0,549.0,1223.0,14335.0,False,East Coast,14335.0,15425.0,-38438.0,-165.0,2112.0,16447.0,-1022.0,14081.90922106587,-253.09077893413087,1343.0907789341309,,,,initial_train
2007-03-01,1,41866.0,586.0,42790.0,657.0,1090.0,15425.0,False,East Coast,15425.0,15126.0,-41866.0,-586.0,995.0,16420.0,-1294.0,15077.481938384679,-347.51806161532113,48.51806161532113,,,,initial_train
2007-04-01,1,43962.0,0.0,42533.0,595.0,-299.0,15126.0,True,East Coast,15126.0,15840.0,-43962.0,-0.0,-834.0,14292.0,1548.0,14804.384468221078,-321.61553177892165,1035.6155317789216,,,,initial_train
2007-05-01,1,49159.0,104.0,48917.0,608.0,714.0,15840.0,False,East Coast,15840.0,15442.0,-49159.0,-104.0,262.0,16102.0,-660.0,15456.53026653817,-383.4697334618304,-14.530266538169599,,,,initial_train
2007-06-01,1,46406.0,0.0,44269.0,589.0,-398.0,15442.0,True,East Coast,15442.0,14415.0,-46406.0,-0.0,-1548.0,13894.0,521.0,15093.00921929699,-348.9907807030104,-678.0092192969896,,,,initial_train
2007-07-01,1,48094.0,388.0,46248.0,576.0,-1027.0,14415.0,False,East Coast,14415.0,14295.0,-48094.0,-388.0,-1658.0,12757.0,1538.0,14154.978778300278,-260.02122169972245,140.02122169972245,,,,initial_train
2007-08-01,1,46726.0,1047.0,48207.0,602.0,-120.0,14295.0,False,East Coast,14295.0,14853.0,-46726.0,-1047.0,1036.0,15331.0,-478.0,14045.374442448665,-249.62555755133508,807.6255575513351,,,,initial_train
2007-09-01,1,46419.0,663.0,45997.0,601.0,558.0,14853.0,False,East Coast,14853.0,16194.0,-46419.0,-663.0,-484.0,14369.0,1825.0,14555.034604158662,-297.96539584133825,1638.9653958413382,,,,initial_train
2007-10-01,1,49319.0,0.0,51414.0,619.0,1341.0,16194.0,False,East Coast,16194.0,13004.0,-49319.0,-0.0,2714.0,18908.0,-5904.0,15779.863057300425,-414.13694269957523,-2775.8630573004248,,,,initial_train
2007-11-01,1,47534.0,300.0,42917.0,606.0,-3190.0,13004.0,False,East Coast,13004.0,12868.0,-47534.0,-300.0,-4311.0,8693.0,4175.0,12866.214462578406,-137.7855374215942,1.7855374215941993,,,,initial_train
