padd,padd_name,model,fold,train_n,test_n,train_rmse_kb,test_rmse_kb
1,East Coast,Persistence,1,21,21,1125.5253588139776,1755.0191967475403
1,East Coast,Physical level MLR,1,21,21,833.310849327585,2838.12566124508
1,East Coast,Change MLR,1,21,21,943.592475360273,2314.316521605377
1,East Coast,Seasonal ridge MLR,1,21,21,920.8453942358099,2142.0109261866974
1,East Coast,Polynomial ridge (degree 2),1,21,21,938.787848737367,1963.2949700285749
1,East Coast,Spline ridge (4 knots),1,21,21,1102.4434995164613,1727.5671563360836
1,East Coast,Persistence,2,42,21,1474.262479052783,889.9610210832939
1,East Coast,Physical level MLR,2,42,21,1339.4517371115355,1086.53431640004
1,East Coast,Change MLR,2,42,21,1390.1487918803975,933.0583288426386
1,East Coast,Seasonal ridge MLR,2,42,21,1346.9183250923206,901.2237732934307
1,East Coast,Polynomial ridge (degree 2),2,42,21,1307.3298503509757,919.1634501462098
1,East Coast,Spline ridge (4 knots),2,42,21,1365.2157280484596,966.1520689619759
1,East Coast,Persistence,3,63,21,1308.807387577629,1070.777243296618
1,East Coast,Physical level MLR,3,63,21,1202.5087374885593,921.3628345046167
1,East Coast,Change MLR,3,63,21,1246.3336149938627,1411.794833524067
1,East Coast,Seasonal ridge MLR,3,63,21,1204.8363275634147,1205.9456770555962
1,East Coast,Polynomial ridge (degree 2),3,63,21,1182.3390478611877,2628.7494567344374
1,East Coast,Spline ridge (4 knots),3,63,21,1241.224567983095,1141.5862027242276
1,East Coast,Persistence,4,84,21,1253.5443987046528,1213.3237309928772
1,East Coast,Physical level MLR,4,84,21,1134.9883946465668,2102.814366564176
1,East Coast,Change MLR,4,84,21,1195.8014144120802,1343.2977639284745
1,East Coast,Seasonal ridge MLR,4,84,21,1164.2229399039484,1262.4644015131935
1,East Coast,Polynomial ridge (degree 2),4,84,21,1141.403787895357,1848.4936609457427
1,East Coast,Spline ridge (4 knots),4,84,21,1185.3814911963038,1326.811982484789
1,East Coast,Persistence,5,105,21,1245.604167806588,2197.349919031256
1,East Coast,Physical level MLR,5,105,21,1183.5161950568827,2279.632882093185
1,East Coast,Change MLR,5,105,21,1210.1712034899865,2028.7447973681699
1,East Coast,Seasonal ridge MLR,5,105,21,1172.5627665243626,1957.793425030214
1,East Coast,Polynomial ridge (degree 2),5,105,21,1159.8809609394373,2169.0834316055834
1,East Coast,Spline ridge (4 knots),5,105,21,1201.012949725743,2170.1172661987875
1,East Coast,Persistence,6,126,21,1448.332108608173,2123.4073135052586
1,East Coast,Physical level MLR,6,126,21,1393.2970733471384,2020.6971325940183
1,East Coast,Change MLR,6,126,21,1371.099884927804,1839.1851548525253
1,East Coast,Seasonal ridge MLR,6,126,21,1322.810677213027,1786.0134377616967
1,East Coast,Polynomial ridge (degree 2),6,126,21,1328.724755596176,1793.4091120351206
1,East Coast,Spline ridge (4 knots),6,126,21,1372.553279934484,1884.1969251768382
1,East Coast,Persistence,7,147,21,1562.7290232154774,1231.3129461792284
1,East Coast,Physical level MLR,7,147,21,1490.647234064378,1542.7673441150928
1,East Coast,Change MLR,7,147,21,1442.3712667911389,1240.38207291045
1,East Coast,Seasonal ridge MLR,7,147,21,1380.2727113919748,1224.4235560362488
1,East Coast,Polynomial ridge (degree 2),7,147,21,1386.9353137293797,1317.9746558426918
1,East Coast,Spline ridge (4 knots),7,147,21,1443.517542520011,1319.2677360006069
1,East Coast,Persistence,8,168,21,1525.2452905774112,735.0605417242855
1,East Coast,Physical level MLR,8,168,21,1470.7167546337366,1016.129531137369
1,East Coast,Change MLR,8,168,21,1415.7084119885246,662.6569661508885
1,East Coast,Seasonal ridge MLR,8,168,21,1359.7982680949997,751.653842650013
1,East Coast,Polynomial ridge (degree 2),8,168,21,1375.7467399276566,755.4115921419036
1,East Coast,Spline ridge (4 knots),8,168,21,1426.80209553674,614.7917905740993
1,East Coast,Persistence,9,189,21,1458.7399269928737,670.8718563325247
1,East Coast,Physical level MLR,9,189,21,1419.754917804497,785.142130860248
1,East Coast,Change MLR,9,189,21,1351.6664530154633,657.9305224694784
1,East Coast,Seasonal ridge MLR,9,189,21,1305.8880940377549,708.631906403721
1,East Coast,Polynomial ridge (degree 2),9,189,21,1319.1967459050209,672.4129239745508
1,East Coast,Spline ridge (4 knots),9,189,21,1360.354472576153,666.913619338897
1,East Coast,Persistence,10,210,21,1400.0488783984515,817.224134319518
1,East Coast,Physical level MLR,10,210,21,1367.7644627759967,825.7639108747198
1,East Coast,Change MLR,10,210,21,1298.613484055114,884.7570399234685
1,East Coast,Seasonal ridge MLR,10,210,21,1258.9761164029856,855.8445217692281
1,East Coast,Polynomial ridge (degree 2),10,210,21,1269.118342164655,824.6512630873817
1,East Coast,Spline ridge (4 knots),10,210,21,1307.5404276418228,853.0938313374437
2,Midwest,Persistence,1,21,21,2850.169042605819,4161.3139694549545
2,Midwest,Physical level MLR,1,21,21,2230.786467548249,4385.760241892057
2,Midwest,Change MLR,1,21,21,2205.384954689415,3988.923927877883
2,Midwest,Seasonal ridge MLR,1,21,21,2151.245668146625,3653.4087849097755
2,Midwest,Polynomial ridge (degree 2),1,21,21,2232.8529452882267,4005.51480619692
2,Midwest,Spline ridge (4 knots),1,21,21,2252.1751798433343,3912.4987741121513
2,Midwest,Persistence,2,42,21,3566.510726453064,2859.2358786087952
2,Midwest,Physical level MLR,2,42,21,2876.3041103754695,5935.131393458357
2,Midwest,Change MLR,2,42,21,2994.943644554197,3155.1456358439495
2,Midwest,Seasonal ridge MLR,2,42,21,2939.694440359269,2531.506911491905
2,Midwest,Polynomial ridge (degree 2),2,42,21,2907.961658032517,4334.801692052419
2,Midwest,Spline ridge (4 knots),2,42,21,2896.0928820944628,2801.594095469312
2,Midwest,Persistence,3,63,21,3347.3983595887985,4023.0704632632214
2,Midwest,Physical level MLR,3,63,21,2819.3331683641927,7992.562883263247
2,Midwest,Change MLR,3,63,21,2824.2781648462797,5517.2780838622175
2,Midwest,Seasonal ridge MLR,3,63,21,2716.089106066863,4531.711332727336
2,Midwest,Polynomial ridge (degree 2),3,63,21,2801.219441510415,4521.401064394206
2,Midwest,Spline ridge (4 knots),3,63,21,2842.65690961076,4127.762867960887
2,Midwest,Persistence,4,84,21,3528.4672056614854,6247.620991034831
2,Midwest,Physical level MLR,4,84,21,3348.6842755624225,5654.168438574979
2,Midwest,Change MLR,4,84,21,3182.6145046770944,5149.0475649712935
2,Midwest,Seasonal ridge MLR,4,84,21,2992.546300432684,5191.957111759335
2,Midwest,Polynomial ridge (degree 2),4,84,21,3051.7470121475103,8344.983608844645
2,Midwest,Spline ridge (4 knots),4,84,21,3173.2333535142116,5774.63767124733
2,Midwest,Persistence,5,105,21,4215.046650591979,3776.3534249956256
2,Midwest,Physical level MLR,5,105,21,3846.006184468696,3243.0827645532977
2,Midwest,Change MLR,5,105,21,3587.83214103791,4262.957584003462
2,Midwest,Seasonal ridge MLR,5,105,21,3362.8973532578293,3712.6810350494366
2,Midwest,Polynomial ridge (degree 2),5,105,21,3493.6473885271266,3701.322166267734
2,Midwest,Spline ridge (4 knots),5,105,21,3494.7101099650654,3764.671407072413
2,Midwest,Persistence,6,126,21,4145.156541551628,7219.621191091479
2,Midwest,Physical level MLR,6,126,21,3746.9637219276174,7324.810239582737
2,Midwest,Change MLR,6,126,21,3573.5849378124394,6618.730747459551
2,Midwest,Seasonal ridge MLR,6,126,21,3325.6795550389793,6960.5482480508235
2,Midwest,Polynomial ridge (degree 2),6,126,21,3506.54042895084,7066.227906122402
2,Midwest,Spline ridge (4 knots),6,126,21,3523.115293978948,7211.101722357608
2,Midwest,Persistence,7,147,21,4708.91049981183,7291.082034793961
2,Midwest,Physical level MLR,7,147,21,4374.973249815597,7805.837469852567
2,Midwest,Change MLR,7,147,21,4143.524328248937,8098.3772161306515
2,Midwest,Seasonal ridge MLR,7,147,21,4029.381626720362,7792.375924424
2,Midwest,Polynomial ridge (degree 2),7,147,21,4094.624970324436,7359.470149656591
2,Midwest,Spline ridge (4 knots),7,147,21,4063.413338211898,7857.086686000009
2,Midwest,Persistence,8,168,21,5103.635271852333,5107.6084143447915
2,Midwest,Physical level MLR,8,168,21,4872.164017315001,4880.884232777208
2,Midwest,Change MLR,8,168,21,4756.794217514082,5326.201782507973
2,Midwest,Seasonal ridge MLR,8,168,21,4631.670255575665,5314.703128945197
2,Midwest,Polynomial ridge (degree 2),8,168,21,4551.930383762438,5707.999656094778
2,Midwest,Spline ridge (4 knots),8,168,21,4674.251722000548,5389.259787734299
2,Midwest,Persistence,9,189,21,5104.076884859871,6245.814423237678
2,Midwest,Physical level MLR,9,189,21,4862.615234934273,5914.395898513056
2,Midwest,Change MLR,9,189,21,4814.655122494269,6306.667600047048
2,Midwest,Seasonal ridge MLR,9,189,21,4710.258632501388,5832.577532671629
2,Midwest,Polynomial ridge (degree 2),9,189,21,4688.088136960734,6055.573780278551
2,Midwest,Spline ridge (4 knots),9,189,21,4749.218553576539,6272.897265253184
2,Midwest,Persistence,10,210,21,5229.479949560678,3561.785714524454
2,Midwest,Physical level MLR,10,210,21,4974.945013106738,4037.963463417794
2,Midwest,Change MLR,10,210,21,4972.873426502937,4018.286783069945
2,Midwest,Seasonal ridge MLR,10,210,21,4825.421046184402,3655.178812499156
2,Midwest,Polynomial ridge (degree 2),10,210,21,4834.423183058123,4132.399651032299
2,Midwest,Spline ridge (4 knots),10,210,21,4925.797470517781,3856.0549716617893
3,Gulf Coast,Persistence,1,21,21,7761.109800365753,8403.355795100408
3,Gulf Coast,Physical level MLR,1,21,21,5987.470268489018,14959.200548502593
3,Gulf Coast,Change MLR,1,21,21,6810.6822181410835,9181.430658020428
3,Gulf Coast,Seasonal ridge MLR,1,21,21,6683.156605951185,7982.170597242048
3,Gulf Coast,Polynomial ridge (degree 2),1,21,21,6546.450867729639,11400.856116039147
3,Gulf Coast,Spline ridge (4 knots),1,21,21,7106.370696168269,8826.260761308382
3,Gulf Coast,Persistence,2,42,21,8088.609706011935,9954.457874310814
3,Gulf Coast,Physical level MLR,2,42,21,7384.2320359911355,9192.968091436334
3,Gulf Coast,Change MLR,2,42,21,7664.070919177451,9590.125305744528
3,Gulf Coast,Seasonal ridge MLR,2,42,21,7057.438719546459,9478.710863236514
3,Gulf Coast,Polynomial ridge (degree 2),2,42,21,7659.628947164446,12228.636268939767
3,Gulf Coast,Spline ridge (4 knots),2,42,21,7647.358968072671,10873.48967952934
