model,padd,padd_name,observations,mae_kb,rmse_kb,r2,nrmse
Persistence,1,East Coast,210.0,1046.5047619047618,1378.4925306808366,0.819761686899404,0.42454483049566866
Linear regression,1,East Coast,210.0,1261.1366083252258,1699.8189194994784,0.7259412976113995,0.5235061627035545
Random forest,1,East Coast,210.0,1549.9466823742953,2027.2011063248628,0.6102088731434365,0.6243325450884035
XGBoost,1,East Coast,210.0,1570.8817475818453,2046.1674736632956,0.6028810303047467,0.6301737615096753
Neural network,1,East Coast,210.0,1395.9196750710812,1895.7855280173694,0.6591080961773861,0.583859489794089
Persistence,2,Midwest,210.0,4062.8380952380953,5272.925746996001,0.9348562809910071,0.2552326762171978
Linear regression,2,Midwest,210.0,4460.660125238448,5743.191320459258,0.9227184533444306,0.2779955874749985
Random forest,2,Midwest,210.0,10226.176687629197,13232.94408438253,0.5897182569056933,0.6405323903553256
XGBoost,2,Midwest,210.0,10090.289769345238,13431.867689882303,0.5772904618787977,0.6501611631904837
Neural network,2,Midwest,210.0,8776.357154532134,11652.564930178389,0.6818643779584593,0.5640351248295987
Persistence,3,Gulf Coast,210.0,9163.090476190477,11773.132508466248,0.9890397127963975,0.10469139030313133
Linear regression,3,Gulf Coast,210.0,10967.93236606648,14388.576600579727,0.9836290630176806,0.12794896241204684
Random forest,3,Gulf Coast,210.0,35968.42892911315,59917.85593266483,0.7161098010302155,0.5328134748387887
XGBoost,3,Gulf Coast,210.0,35399.97976190476,57656.31303880055,0.737135702136422,0.5127029333479359
Neural network,3,Gulf Coast,210.0,36543.762463676,202170.78363047872,-2.2320246119029745,1.7977832494221808
Persistence,4,Rocky Mountain,210.0,759.2904761904762,963.6231850973402,0.9499502299470387,0.22371805929106686
Linear regression,4,Rocky Mountain,210.0,920.2174805673485,1159.5394154019916,0.9275299373365221,0.2692026423783354
Random forest,4,Rocky Mountain,210.0,1415.1282893411137,1961.5191483256767,0.7926172117753805,0.45539300414545203
XGBoost,4,Rocky Mountain,210.0,1449.1132486979166,2000.7731802026951,0.784233846498662,0.464506354640427
Neural network,4,Rocky Mountain,210.0,1438.8464482279705,1971.3514126319417,0.7905329570120622,0.457675696304641
Persistence,5,West Coast,210.0,1898.8238095238096,2404.7683969266445,0.5840902192050978,0.6449106766017308
Linear regression,5,West Coast,210.0,1916.0231600128668,2434.9479014237845,0.5735854955695272,0.6530042147111097
Random forest,5,West Coast,210.0,1939.3142007730726,2375.7784206055476,0.5940575313288134,0.6371361461031595
XGBoost,5,West Coast,210.0,1953.2658296130953,2405.2039073649044,0.5839395606610159,0.6450274717707642
Neural network,5,West Coast,210.0,2092.5126374408774,2617.2062290392328,0.5073613148332173,0.7018822445159749
