padd,model,params
1,persistence,{}
1,seasonal_naive,{}
1,seasonal_change,{}
1,forecast_flow_identity,{}
1,legacy_constrained_level,{}
1,constrained_level,{}
1,ridge_change,"{""ridge__alpha"": 10}"
1,seasonal_ridge_change,"{""ridge__alpha"": 100}"
1,polynomial_ridge_change,"{""polynomialfeatures__degree"": 1, ""ridge__alpha"": 100}"
1,spline_ridge_change,"{""ridge__alpha"": 100, ""splinetransformer__degree"": 2, ""splinetransformer__n_knots"": 3}"
1,random_forest_change,"{""max_depth"": 5, ""min_samples_leaf"": 12, ""n_estimators"": 200}"
1,xgboost_change,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100, ""reg_lambda"": 30}"
1,neural_network_change,"{""regressor__mlpregressor__alpha"": 10, ""regressor__mlpregressor__hidden_layer_sizes"": [32]}"
1,rolling_ridge_change,"{""ridge__alpha"": 100}"
1,damped_ridge_change,"{""ridge__alpha"": 10}"
1,ensemble_change,"{""weights"": [2, 1, 1]}"
2,persistence,{}
2,seasonal_naive,{}
2,seasonal_change,{}
2,forecast_flow_identity,{}
2,legacy_constrained_level,{}
2,constrained_level,{}
2,ridge_change,"{""ridge__alpha"": 10}"
2,seasonal_ridge_change,"{""ridge__alpha"": 10}"
2,polynomial_ridge_change,"{""polynomialfeatures__degree"": 1, ""ridge__alpha"": 10}"
2,spline_ridge_change,"{""ridge__alpha"": 1000, ""splinetransformer__degree"": 2, ""splinetransformer__n_knots"": 3}"
2,random_forest_change,"{""max_depth"": null, ""min_samples_leaf"": 12, ""n_estimators"": 200}"
2,xgboost_change,"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 200, ""reg_lambda"": 30}"
2,neural_network_change,"{""regressor__mlpregressor__alpha"": 10, ""regressor__mlpregressor__hidden_layer_sizes"": [16]}"
2,rolling_ridge_change,"{""ridge__alpha"": 100}"
2,damped_ridge_change,"{""ridge__alpha"": 0.01}"
2,ensemble_change,"{""weights"": [2, 1, 1]}"
3,persistence,{}
3,seasonal_naive,{}
3,seasonal_change,{}
3,forecast_flow_identity,{}
3,legacy_constrained_level,{}
3,constrained_level,{}
3,ridge_change,"{""ridge__alpha"": 100}"
3,seasonal_ridge_change,"{""ridge__alpha"": 100}"
3,polynomial_ridge_change,"{""polynomialfeatures__degree"": 1, ""ridge__alpha"": 100}"
3,spline_ridge_change,"{""ridge__alpha"": 1000, ""splinetransformer__degree"": 2, ""splinetransformer__n_knots"": 7}"
3,random_forest_change,"{""max_depth"": 5, ""min_samples_leaf"": 5, ""n_estimators"": 200}"
3,xgboost_change,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200, ""reg_lambda"": 30}"
3,neural_network_change,"{""regressor__mlpregressor__alpha"": 10, ""regressor__mlpregressor__hidden_layer_sizes"": [16]}"
3,rolling_ridge_change,"{""ridge__alpha"": 100}"
3,damped_ridge_change,"{""ridge__alpha"": 10}"
3,ensemble_change,"{""weights"": [1, 1, 2]}"
4,persistence,{}
4,seasonal_naive,{}
4,seasonal_change,{}
4,forecast_flow_identity,{}
4,legacy_constrained_level,{}
4,constrained_level,{}
4,ridge_change,"{""ridge__alpha"": 1000}"
4,seasonal_ridge_change,"{""ridge__alpha"": 10}"
4,polynomial_ridge_change,"{""polynomialfeatures__degree"": 2, ""ridge__alpha"": 1000}"
4,spline_ridge_change,"{""ridge__alpha"": 1000, ""splinetransformer__degree"": 2, ""splinetransformer__n_knots"": 7}"
4,random_forest_change,"{""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 100}"
4,xgboost_change,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 100, ""reg_lambda"": 1}"
4,neural_network_change,"{""regressor__mlpregressor__alpha"": 10, ""regressor__mlpregressor__hidden_layer_sizes"": [32]}"
4,rolling_ridge_change,"{""ridge__alpha"": 10}"
4,damped_ridge_change,"{""ridge__alpha"": 10}"
4,ensemble_change,"{""weights"": [1, 1, 2]}"
5,persistence,{}
5,seasonal_naive,{}
5,seasonal_change,{}
5,forecast_flow_identity,{}
5,legacy_constrained_level,{}
5,constrained_level,{}
5,ridge_change,"{""ridge__alpha"": 1}"
5,seasonal_ridge_change,"{""ridge__alpha"": 100}"
5,polynomial_ridge_change,"{""polynomialfeatures__degree"": 1, ""ridge__alpha"": 100}"
5,spline_ridge_change,"{""ridge__alpha"": 100, ""splinetransformer__degree"": 2, ""splinetransformer__n_knots"": 3}"
5,random_forest_change,"{""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 200}"
5,xgboost_change,"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 200, ""reg_lambda"": 1}"
5,neural_network_change,"{""regressor__mlpregressor__alpha"": 10, ""regressor__mlpregressor__hidden_layer_sizes"": [32, 16]}"
5,rolling_ridge_change,"{""ridge__alpha"": 100}"
5,damped_ridge_change,"{""ridge__alpha"": 0.01}"
5,ensemble_change,"{""weights"": [1, 1, 2]}"
