model,mae_kb,rmse_kb,r2,n
seasonal_change,37515.15000000001,48325.12938377806,0.8748522397403405,72
neural_network_change,45996.42944952076,58986.961935859654,0.813538536622604,72
damped_ridge_change,46152.03500450567,57181.89660043516,0.824775777199708,72
seasonal_ridge_change,47386.70137962107,58486.508048979296,0.8166890468557755,72
polynomial_ridge_change,47386.70137962108,58486.50804897931,0.8166890468557754,72
rolling_ridge_change,47475.38744894974,59521.34247693324,0.8101448131646035,72
persistence,47528.944444444445,58424.50430208582,0.8170775105058212,72
random_forest_change,48858.25648419498,63142.701749098844,0.7863399372050983,72
xgboost_change,48963.19478352865,64732.82946280439,0.7754431997230435,72
ensemble_change,49338.97186821085,60184.49938867312,0.8058907035475396,72
ridge_change,50825.377279104774,60882.35014473693,0.8013631371807367,72
spline_ridge_change,52025.67960338491,66461.02742238456,0.7632929831689579,72
constrained_level,53393.39693970199,66200.49028621167,0.7651451991508424,72
legacy_constrained_level,59163.763768654564,72971.7562719143,0.7146442498061722,72
forecast_flow_identity,59505.65579059777,80619.85326352711,0.6516939345963761,72
seasonal_naive,76356.97222222222,97274.27333447422,0.4929240406347747,72
