model,mae_kb,rmse_kb,r2,n
constrained_level,11103.9169400638,14235.300708430404,0.9096994772308935,120
damped_ridge_change,10152.76419599437,12435.164010105686,0.9310935289816137,120
ensemble_change,9384.752209127468,11592.294247002988,0.9401180732359558,120
forecast_flow_identity,11266.30536813664,14790.299698016224,0.902521032223056,120
huber_change,10014.316681690014,12339.425724868948,0.9321504659516503,120
neural_network_change,10044.171274649243,12263.983201405501,0.9329775858420398,120
persistence,10818.325,13133.212530641542,0.9231402587735791,120
polynomial_ridge_change,9903.903235883265,12047.772675883994,0.9353199269038694,120
random_forest_change,9069.7512348384,11319.006729000912,0.9429082166076129,120
ridge_change,10564.224266092697,12964.155901024396,0.9251062695609075,120
rolling_ridge_change,10098.67118074881,12533.069183089605,0.9300042216564786,120
seasonal_change,8190.008749999998,10450.374192880803,0.9513345598231269,120
seasonal_naive,39776.21666666667,50836.93779821912,-0.15163734178900734,120
seasonal_residual_change,8232.032843126557,10340.391628227886,0.9523535061370495,120
seasonal_ridge_change,10162.224381338263,12429.426076707983,0.9311571050665245,120
selected_padd_models,8440.52586363312,10453.340626527528,0.9513069276473111,120
spline_ridge_change,9318.606853888463,11109.331350874341,0.9450037833724172,120
xgboost_change,9051.736014811198,11385.250800311775,0.9422380060058729,120
