model,mae_kb,rmse_kb,r2,n
constrained_level,12588.00392045714,15462.32127377931,0.986230885506262,120
damped_ridge_change,12126.07976554064,14776.252218897807,0.987425659486879,120
ensemble_change,11175.131319023245,13970.68524789601,0.9887593340297042,120
forecast_flow_identity,11174.490663851057,14561.306513083226,0.9877888289892965,120
legacy_constrained_level,13613.864405826023,16720.361398769506,0.9838991818061674,120
neural_network_change,11782.853028082998,14539.768171994301,0.9878249265540053,120
persistence,13036.158333333333,15682.341640360983,0.9858362436507095,120
polynomial_ridge_change,12602.706567236582,15820.928210790764,0.9855848042073476,120
random_forest_change,11063.30642308261,13922.228772336919,0.9888371739417938,120
ridge_change,12456.341895437841,15054.937783557085,0.9869468732279721,120
rolling_ridge_change,11972.080231544562,14884.483909552535,0.9872407781837869,120
seasonal_change,10142.548333333323,13301.402566208315,0.9898105322083706,120
seasonal_naive,70657.95,88092.48991448325,0.5530752596092869,120
seasonal_ridge_change,11680.673423365224,14507.439455578155,0.9878790081471274,120
selected_padd_models,10310.593199624049,13321.33046857626,0.9897799780131066,120
spline_ridge_change,15562.318653152299,20789.82767885335,0.9751080795178314,120
xgboost_change,11147.61241048177,13900.559465480885,0.9888718957469484,120
