padd,model,split,mae_kb,rmse_kb,r2,n
1,constrained_level,cv,1186.2900071231008,1597.498087699548,0.8269407465984016,120
1,constrained_level,holdout,591.0892658990061,763.8054296012589,-0.1152836365601626,24
1,damped_ridge_change,cv,1055.4949351061243,1424.8164797525349,0.8623323208008613,120
1,damped_ridge_change,holdout,616.0674598664128,759.7289852893658,-0.1034108234830482,24
1,deployed_policy,cv,1236.65,1576.6057664066395,0.8314377369969295,120
1,deployed_policy,holdout,676.875,863.9839572198858,-0.42702376111927265,24
1,ensemble_change,cv,1045.8701398439412,1406.0768084376377,0.8659298108383202,120
1,ensemble_change,holdout,657.8605571445565,793.8169045245969,-0.2046490261327878,24
1,forecast_flow_identity,cv,1369.377070886192,1692.7992903521845,0.8056766143554309,120
1,forecast_flow_identity,holdout,736.5185594250443,919.2046272995952,-0.6152667436825863,24
1,legacy_constrained_level,cv,1236.8043020901432,1636.3054151101678,0.8184305127559,120
1,legacy_constrained_level,holdout,606.4352396507855,806.1064454712337,-0.24223749931786576,24
1,neural_network_change,cv,1014.3096677667211,1335.9484936424128,0.8789698529105988,120
1,neural_network_change,holdout,568.9451964173256,720.2523025319323,0.008279802169040895,24
1,persistence,cv,1108.8,1500.698653960881,0.8472781705277339,120
1,persistence,holdout,626.875,792.3827726126643,-0.20030025247290495,24
1,polynomial_ridge_change,cv,1107.4078414068688,1472.6908608556218,0.852925522123578,120
1,polynomial_ridge_change,holdout,690.8814163782716,860.2709278678901,-0.41478465514530183,24
1,random_forest_change,cv,1066.6281399359918,1433.7695234349012,0.8605967749237801,120
1,random_forest_change,holdout,684.545189636233,823.0012854240383,-0.2948542147883988,24
1,ridge_change,cv,1040.920443812562,1405.1092115568397,0.8661142691273528,120
1,ridge_change,holdout,613.3055412478861,761.6424085034246,-0.10897583583119852,24
1,rolling_ridge_change,cv,1079.0581312961172,1429.6646699677647,0.8613938495737734,120
1,rolling_ridge_change,holdout,623.0183866169831,775.5841214341127,-0.14994658023963092,24
1,seasonal_change,cv,1236.65,1576.6057664066395,0.8314377369969295,120
1,seasonal_change,holdout,676.875,863.9839572198858,-0.42702376111927265,24
1,seasonal_naive,cv,2141.3166666666666,2742.4342927406665,0.48998072015350547,120
1,seasonal_naive,holdout,676.3333333333334,861.7252559062352,-0.4195722171255898,24
1,seasonal_ridge_change,cv,1024.3042458706752,1375.4125173739371,0.8717137598805473,120
1,seasonal_ridge_change,holdout,614.9265863994924,760.237300405634,-0.10488784501892923,24
1,selected_padd_models,cv,1014.3096677667211,1335.9484936424128,0.8789698529105988,120
1,selected_padd_models,holdout,568.9451964173256,720.2523025319323,0.008279802169040895,24
1,spline_ridge_change,cv,1046.2885158576582,1428.8213106608662,0.8615573289004825,120
1,spline_ridge_change,holdout,666.3667342087361,831.2976449683637,-0.32109165136224815,24
1,xgboost_change,cv,1070.8899576822917,1426.8940919322608,0.8619305447366439,120
1,xgboost_change,holdout,677.2144571940104,820.1336056020637,-0.2858463112692131,24
2,constrained_level,cv,4620.527799317078,6012.989529801175,0.8777419670176148,120
2,constrained_level,holdout,3212.100348856471,3927.3007113701133,-0.3353401024617064,24
2,damped_ridge_change,cv,4661.893362232552,6040.497971697048,0.8766207873249948,120
2,damped_ridge_change,holdout,2795.498009263693,3560.1486505203375,-0.09733654540576486,24
2,deployed_policy,cv,4827.305000000001,6355.822641038164,0.8634033500536881,120
2,deployed_policy,holdout,3143.408333333334,3897.4459844450275,-0.315115175132862,24
2,ensemble_change,cv,4656.408976383105,6102.27988153714,0.8740840477277496,120
2,ensemble_change,holdout,2920.3926525205065,3579.5489494857466,-0.10932855092261828,24
2,forecast_flow_identity,cv,5149.8020631527315,6672.240073645461,0.8494641852840459,120
2,forecast_flow_identity,holdout,3142.3055521925758,4033.292018543042,-0.4083899364325907,24
2,legacy_constrained_level,cv,4780.1480369862375,6163.750229265631,0.8715344820431643,120
2,legacy_constrained_level,holdout,3289.663459451295,4046.350888143512,-0.41752478456059516,24
2,neural_network_change,cv,4522.183073624579,5976.116683876831,0.8792367907189793,120
2,neural_network_change,holdout,3288.542377923695,3782.8674400176606,-0.23892730663551776,24
2,persistence,cv,4902.05,6190.497968661326,0.87041710456323,120
2,persistence,holdout,2859.6666666666665,3670.331819695144,-0.1663106381126851,24
2,polynomial_ridge_change,cv,4929.428238445428,6324.351574123681,0.8647527267190542,120
2,polynomial_ridge_change,holdout,3033.249475352542,3735.151486749413,-0.20786951309733137,24
2,random_forest_change,cv,4776.123652170637,6209.488660798202,0.8696208379269041,120
2,random_forest_change,holdout,2997.156801767602,3666.615644738375,-0.16395007758398772,24
2,ridge_change,cv,4641.01065146705,6057.95402289987,0.8759066654746701,120
2,ridge_change,holdout,2996.323557944737,3785.3394308939046,-0.24054703966146884,24
2,rolling_ridge_change,cv,4738.551803757185,6134.935768645804,0.8727327824776705,120
2,rolling_ridge_change,holdout,2754.1983218110813,3534.0054029502,-0.08127957044800538,24
2,seasonal_change,cv,4827.305000000001,6355.822641038164,0.8634033500536881,120
2,seasonal_change,holdout,3143.408333333334,3897.4459844450275,-0.315115175132862,24
2,seasonal_naive,cv,17907.975,22152.697323162854,-0.6593948436230028,120
2,seasonal_naive,holdout,5718.0,6920.630480671541,-3.1466263361951547,24
2,seasonal_ridge_change,cv,4547.650196614623,5998.664601065679,0.8783237912395222,120
2,seasonal_ridge_change,holdout,2940.2203539085876,3570.260108573743,-0.10357866076996691,24
2,selected_padd_models,cv,4522.183073624579,5976.116683876831,0.8792367907189793,120
2,selected_padd_models,holdout,3288.542377923695,3782.8674400176606,-0.23892730663551776,24
2,spline_ridge_change,cv,5828.776826135336,7585.912925379737,0.8054137199722544,120
2,spline_ridge_change,holdout,3511.69586058656,4218.373497440639,-0.5406132862919422,24
2,xgboost_change,cv,4730.16328125,6166.089613021049,0.8714369481827324,120
2,xgboost_change,holdout,2881.09765625,3567.6340344583955,-0.10195580224508305,24
3,constrained_level,cv,10294.528958532574,12854.708757162109,0.9879614347830503,120
3,constrained_level,holdout,11019.712280451151,14791.230322687876,0.5870093573435211,24
3,damped_ridge_change,cv,9806.045990655412,11974.418225541966,0.9895537818308566,120
3,damped_ridge_change,holdout,10652.035042740186,16019.665924143543,0.515561643323859,24
3,deployed_policy,cv,8985.653333333328,11694.781371677424,0.9900359829634852,120
3,deployed_policy,holdout,10010.175000000003,14076.156350900625,0.625975736500533,24
3,ensemble_change,cv,9288.77786119706,11555.087673487855,0.9902726008509984,120
3,ensemble_change,holdout,9895.335064698811,15210.40405534245,0.5632699109868741,24
3,forecast_flow_identity,cv,9840.317069336299,12561.159019326284,0.9885049815115317,120
3,forecast_flow_identity,holdout,10997.841004831207,16772.899409136808,0.4689347346536604,24
3,legacy_constrained_level,cv,11052.256562423765,13952.010096789114,0.9858184464049653,120
3,legacy_constrained_level,holdout,10065.986558617195,14113.718355514495,0.6239769172682601,24
3,neural_network_change,cv,9782.87010047884,12147.22395920209,0.9892501024775089,120
3,neural_network_change,holdout,9456.70857190151,14538.817511710833,0.6009844847797179,24
3,persistence,cv,10233.375,12572.2508356698,0.9884846717730973,120
3,persistence,holdout,11164.708333333334,17050.048833019024,0.4512394703682644,24
3,polynomial_ridge_change,cv,10622.016306282232,13223.709873454449,0.9872603683405953,120
3,polynomial_ridge_change,holdout,9697.603642382412,14400.267783515059,0.6085531986990483,24
3,random_forest_change,cv,9265.622597348456,11619.987300890409,0.9901630253164139,120
3,random_forest_change,holdout,9964.564502216977,15400.082207650346,0.5523096940246265,24
3,ridge_change,cv,9944.774894261238,12183.366488494286,0.9891860373880532,120
3,ridge_change,holdout,10568.57157955293,15289.91096131385,0.5586922798954004,24
3,rolling_ridge_change,cv,9920.681849070941,12202.205120234374,0.9891525691735721,120
3,rolling_ridge_change,holdout,11365.254894914615,16283.044902817954,0.4995014158936383,24
3,seasonal_change,cv,8985.653333333328,11694.781371677424,0.9900359829634852,120
3,seasonal_change,holdout,10010.175000000003,14076.156350900625,0.625975736500533,24
3,seasonal_naive,cv,55119.65,75065.53564719298,0.5894827388654502,120
3,seasonal_naive,holdout,27042.75,30486.0312342664,-0.7544192855230503,24
3,seasonal_ridge_change,cv,9699.939335651425,11916.77207455389,0.9896541181926323,120
3,seasonal_ridge_change,holdout,10259.878490524387,15280.277239078772,0.5592482146754237,24
3,selected_padd_models,cv,8985.653333333328,11694.781371677424,0.9900359829634852,120
3,selected_padd_models,holdout,10010.175000000003,14076.156350900625,0.625975736500533,24
3,spline_ridge_change,cv,13385.231091833866,17344.30619020695,0.9780838577589747,120
3,spline_ridge_change,holdout,9222.469505784053,15881.797450124577,0.5238641108618726,24
3,xgboost_change,cv,9242.216666666667,11548.389543872827,0.9902838749317966,120
3,xgboost_change,holdout,9905.177083333334,15291.591328102615,0.5585952748065991,24
4,constrained_level,cv,925.0547924005174,1181.0613109661956,0.7716962203373596,120
4,constrained_level,holdout,672.2894982103035,851.1217517249926,0.3314626456495662,24
4,damped_ridge_change,cv,864.5017503298465,1097.5743418505222,0.8028321471868748,120
4,damped_ridge_change,holdout,654.1822086684969,790.5468488499001,0.4232368265647072,24
4,deployed_policy,cv,816.4333333333333,1063.6527099261925,0.814831155312011,120
4,deployed_policy,holdout,510.7083333333332,741.1917846729459,0.4930052141550436,24
4,ensemble_change,cv,825.1185038121989,1052.1781190385116,0.8188047756162441,120
4,ensemble_change,holdout,578.0619688411786,691.3701868442038,0.5588730461189872,24
4,forecast_flow_identity,cv,834.5809040429624,1104.9937411032456,0.8001575012537432,120
4,forecast_flow_identity,holdout,554.2072671988952,773.1383727863671,0.44835872093930096,24
4,legacy_constrained_level,cv,911.9531045715123,1158.2416073034021,0.7804332674601153,120
4,legacy_constrained_level,holdout,676.4722286823204,849.4008775388708,0.33416333004149246,24
4,neural_network_change,cv,872.4306074743661,1091.8329143145993,0.8048895278612029,120
4,neural_network_change,holdout,598.7914583893627,755.0731979185532,0.47383687458691837,24
4,persistence,cv,883.6833333333333,1113.5120415454278,0.7970644883358704,120
4,persistence,holdout,681.875,821.3312111038599,0.37744324159332054,24
4,polynomial_ridge_change,cv,867.3073435615656,1079.8222145376476,0.8091585399479682,120
4,polynomial_ridge_change,holdout,644.1301750945577,779.2162248031822,0.43965142404621094,24
4,random_forest_change,cv,818.1366073432619,1044.266405908979,0.8215194773588836,120
4,random_forest_change,holdout,536.4239946039842,644.6622896028566,0.6164633844806563,24
4,ridge_change,cv,887.8518188045874,1111.9129803622363,0.7976469217238105,120
4,ridge_change,holdout,684.8630534930808,829.5501318617656,0.3649212631542398,24
4,rolling_ridge_change,cv,846.5015342851028,1066.1350895146406,0.8139658432820707,120
