month,origin_month,horizon,production_kbd,demand_kbd,imports_kbd,exports_kbd,net_receipts_kbd,adjustments_kbd,transfers_kbd,direct_use_kbd,stock_kb,previous_stock_kb,stock_change_kb,identity_stock_unclipped_kb,balance_kbd,model_reconciliation_kbd,supply_kbd,total_demand_kbd,cdu_capacity_kbd,utilization_ratio
2026-07-01,2026-06-01,1,14241.608619431641,16880.64487989281,6514.403279569893,4375.727156298003,-0.006532258065107044,-34.30109447004608,660.1760003840245,0.0,402441.4545467064,404121.0,-1679.545453293602,408011.75533046556,125.50823646663162,-179.6871220567478,21381.880272657447,21256.372036190813,18027.0,0.9364089909520614
2026-08-01,2026-06-01,2,14323.066683947773,16915.36784140808,6399.687150537634,4551.101349846391,0.006370967741588629,1.73761520737348,725.388903609831,0.0,407121.61570562015,402441.4545467064,4680.16115891377,407497.698853958,-16.582466984116365,167.55540759423798,21449.886724270353,21466.469191254466,18027.0,0.9383351551233194
2026-09-01,2026-06-01,3,14322.9159312596,16436.704234407152,6432.546720430108,4469.698124039939,-0.006747311828519287,-372.4998041474654,775.5680433947772,0.0,410311.81722217385,407121.61570562015,3190.201516553663,415061.35240930103,252.12178517810048,-145.7817346263117,21158.524143625193,20906.40235844709,18027.0,0.9117825614027377
2026-10-01,2026-06-01,4,14555.873135560676,15956.039643015683,6084.564569892473,4598.808483102919,-0.01943548387134797,-200.7527073732718,800.8276132872503,0.0,412584.0203156177,410311.81722217385,2272.20309344387,436316.3489520052,685.6450497646526,-612.3481757825924,21240.493175883254,20554.848126118603,18027.0,0.8851189683816322
2026-11-01,2026-06-01,5,14599.409264592932,16652.841827596058,6340.406720430107,4624.036009984639,0.00658602150497245,-124.49980414746548,713.6680433947772,0.0,418198.73568918096,412584.0203156177,5614.715373563291,443879.73813334,252.1129727111595,-64.95579359238313,21528.990810291856,21276.877837580698,18027.0,0.9237722209794229
2026-12-01,2026-06-01,6,14501.789264592935,16725.737551067774,6330.312956989247,4687.288446620582,-0.019435483871234283,-64.41077188940088,703.6856778033793,0.0,420626.0584545736,418198.73568918096,2427.3227653926133,445688.02065738203,58.3316943239347,19.969040043568953,21471.35769201229,21413.025997688354,18027.0,0.9278159178492136
2027-01-01,2026-06-01,7,14199.840877496159,15993.157744047128,6454.738763440861,4473.159414362519,0.019274193547886398,-323.93980414746534,733.8856778033794,0.0,422217.1123534695,420626.0584545736,1591.0538988958724,464233.07719906385,598.2276303768349,-546.9033110576131,21064.54478878648,20466.31715840965,18027.0,0.8871779965633289
2027-02-01,2026-06-01,8,14430.84763897717,15725.849198038195,6332.03478282748,4873.6892570448645,-0.014366359447535615,-70.77625734943587,781.2107691747443,0.0,425118.3971465162,422217.1123534695,2901.284793046727,488698.47234031255,873.7641121874512,-770.1467981500681,21473.302567270508,20599.53845508306,18027.0,0.8723497641336991
2027-03-01,2026-06-01,9,14617.634425883258,16309.55198788919,6204.725860215054,4755.972317588326,0.006370967741702316,-63.3462557603685,774.7114842549922,0.0,430310.9649288989,425118.3971465162,5192.567782382672,503212.9073228904,468.2075800831586,-300.7053935546854,21533.731885560675,21065.524305477516,18027.0,0.9047291278576131
2027-04-01,2026-06-01,10,14661.549264592933,16353.714679588807,6196.553387096774,4974.104790706606,-8.064516180184e-05,-54.833137480798726,746.3880433947771,0.0,431980.62304335774,430310.9649288989,1669.6581144588854,509868.04752278386,221.83800666311254,-166.1827361811497,21549.657476958524,21327.819470295413,18027.0,0.907178936017574
2027-05-01,2026-06-01,11,14586.150554915515,16963.55004370621,6343.887150537634,4903.256188556067,-0.006532258065192309,-174.1720622119815,821.363097158218,0.0,433010.61034545675,431980.62304335774,1029.9873020989835,500890.94277503423,-289.5840241209558,322.8094209628585,21577.22220814132,21866.806232262275,18027.0,0.9410079349701121
2027-06-01,2026-06-01,12,14661.149264592934,17218.61073120511,6343.206720430107,4766.778124039938,-8.064516180184e-05,-153.15980414746545,747.8947100614439,0.0,430462.99351012474,433010.61034545675,-2547.6168353319954,489302.0014264385,-386.2980449531874,301.37748377545427,21599.090810291862,21985.388855245048,18027.0,0.9551567499420375
