model,split,mae_kb,rmse_kb,r2,n
constrained_level,cv,12588.00392045714,15462.32127377931,0.986230885506262,120
constrained_level,holdout,11573.278147560728,17424.91554770878,0.5589665720390555,24
damped_ridge_change,cv,12126.07976554064,14776.252218897807,0.987425659486879,120
damped_ridge_change,holdout,12165.86344008173,19007.026856393873,0.47524266138048343,24
deployed_policy,cv,10142.548333333323,13301.402566208315,0.9898105322083706,120
deployed_policy,holdout,11661.900000000003,16394.459255390728,0.6095869396159588,24
ensemble_change,cv,11175.131319023245,13970.68524789601,0.9887593340297042,120
ensemble_change,holdout,11358.73140219681,17621.951803500353,0.5489360047641465,24
forecast_flow_identity,cv,11174.490663851057,14561.306513083226,0.9877888289892965,120
forecast_flow_identity,holdout,12603.284295508007,19186.493689493163,0.4652862224261176,24
legacy_constrained_level,cv,13613.864405826023,16720.361398769506,0.9838991818061674,120
legacy_constrained_level,holdout,11670.379994094677,17672.52230692548,0.5463434130041983,24
neural_network_change,cv,11782.853028082998,14539.768171994301,0.9878249265540053,120
neural_network_change,holdout,10937.10299802818,17026.419557327215,0.5789081792151843,24
persistence,cv,13036.158333333333,15682.341640360983,0.9858362436507095,120
persistence,holdout,13181.791666666666,20447.083556300477,0.39271453380975074,24
polynomial_ridge_change,cv,12602.706567236582,15820.928210790764,0.9855848042073476,120
polynomial_ridge_change,holdout,11187.245827935045,17088.843646177942,0.5758148148203979,24
random_forest_change,cv,11063.30642308261,13922.228772336919,0.9888371739417938,120
random_forest_change,holdout,11195.333718932641,17563.800860729592,0.5519080386018926,24
ridge_change,cv,12456.341895437841,15054.937783557085,0.9869468732279721,120
ridge_change,holdout,12082.582460210426,18382.30351838627,0.5091712318478332,24
rolling_ridge_change,cv,11972.080231544562,14884.483909552535,0.9872407781837869,120
rolling_ridge_change,holdout,12585.997537995834,18870.01631775184,0.48278073173979286,24
seasonal_change,cv,10142.548333333323,13301.402566208315,0.9898105322083706,120
seasonal_change,holdout,11661.900000000003,16394.459255390728,0.6095869396159588,24
seasonal_naive,cv,70657.95,88092.48991448325,0.5530752596092869,120
seasonal_naive,holdout,23890.916666666668,29811.481183150452,-0.2909138284771098,24
seasonal_ridge_change,cv,11680.673423365224,14507.439455578155,0.9878790081471274,120
seasonal_ridge_change,holdout,11760.933125758582,17950.726888852758,0.531947873309508,24
selected_padd_models,cv,10310.593199624049,13321.33046857626,0.9897799780131066,120
selected_padd_models,holdout,11179.161054954398,16090.902275994653,0.623910733768961,24
spline_ridge_change,cv,15562.318653152299,20789.82767885335,0.9751080795178314,120
spline_ridge_change,holdout,9943.282450001561,18028.563005898377,0.5278800330128293,24
xgboost_change,cv,11147.61241048177,13900.559465480885,0.9888718957469484,120
xgboost_change,holdout,11193.083150227865,17654.667069168227,0.5472596437644378,24
