horizon,model,mae_kb,rmse_kb,r2,n
1,constrained_level,7795.338288645386,8878.98513989703,-0.5485265699044761,13
1,seasonal_change,3954.1807692307675,5534.127315349725,0.3984242857940611,13
1,persistence,7190.692307692308,8406.508490449527,-0.3881081850368826,13
2,constrained_level,8871.62452970039,11352.80481805787,-1.5101342852799537,13
2,seasonal_change,6913.699999999998,9587.099066152949,-0.7900495102208556,13
2,persistence,10117.615384615385,12159.15853933221,-1.8793711917511442,13
3,constrained_level,9625.492543285027,11332.710930540492,-0.9622289160254687,13
3,seasonal_change,8737.626923076912,10792.95855959051,-0.779766664983299,13
3,persistence,10605.846153846154,12958.021839771687,-1.5654258365381102,13
4,constrained_level,9610.91841835865,11069.691260078984,-0.9737983086571935,13
4,seasonal_change,9926.269230769218,11721.953472667608,-1.2132564690872898,13
4,persistence,12202.692307692309,13748.648053815776,-2.044750744806422,13
5,constrained_level,8631.780179463398,10357.621089216886,-0.7341700106626803,13
5,seasonal_change,11138.457692307675,12542.502830353389,-1.5429630423674618,13
5,persistence,12647.615384615385,14257.972676581823,-2.286148531325664,13
6,constrained_level,7784.860726386891,9700.488513368018,-0.34401890765399723,13
6,seasonal_change,12218.46153846152,13046.076171150507,-1.4309609730569774,13
6,persistence,11781.0,14030.56585020444,-1.811697143823856,13
7,constrained_level,8533.262988415476,9684.514563261686,-0.13955003585372228,13
7,seasonal_change,11995.896153846146,12792.641354031799,-0.9883742712847792,13
7,persistence,12079.76923076923,13930.123708656056,-1.3576950544440263,13
8,constrained_level,9323.867750348962,11031.901551148614,-0.2605217641701547,13
8,seasonal_change,12896.130769230744,13982.568626659056,-1.0249929361782173,13
8,persistence,12631.76923076923,14602.446736499594,-1.2085175519906755,13
9,constrained_level,10022.128309333268,12851.41419835454,0.00047444847368027787,13
9,seasonal_change,14962.31923076921,17757.936420074886,-0.9084335910270489,13
9,persistence,11347.76923076923,15929.00802116885,-0.5355696526528422,13
10,constrained_level,9838.567523125232,12886.121762199164,0.21723857113765754,13
10,seasonal_change,16221.68846153844,19177.321030296112,-0.7336476402244902,13
10,persistence,11566.153846153846,15643.740635695896,-0.15362901336645396,13
11,constrained_level,8981.004765808793,10880.583262276974,0.4169428418264184,13
11,seasonal_change,14879.823076923056,17623.74834025862,-0.5296897036385781,13
11,persistence,10312.23076923077,12538.353342383582,0.2257382814910026,13
12,constrained_level,9645.86170426368,11992.56364931312,0.36320024932438955,13
12,seasonal_change,11916.30384615382,15604.210134872836,-0.07810832772361254,13
12,persistence,8948.615384615385,11793.268999404181,0.3841893011351116,13
