model,mae_kb,rmse_kb,r2,n
constrained_level,28781.81066820766,38347.048947091855,-0.5127424621409324,72
xgboost_change,28919.882134331598,39424.45144453709,-0.5989409321722514,72
damped_ridge_change,29341.29579050169,37692.35077229645,-0.4615293802090299,72
random_forest_change,29822.62505123728,42305.12015578503,-0.8411406539610691,72
ensemble_change,29866.44944252191,39904.72655232863,-0.6381353424383012,72
persistence,29870.097222222223,36728.6577175931,-0.38774993555687143,72
seasonal_residual_change,30349.95030284801,40776.4803783913,-0.7104901429367441,72
seasonal_change,30562.796527777784,42345.68084591301,-0.8446727907136284,72
neural_network_change,30788.509765938546,41904.48382120398,-0.8064339748252276,72
seasonal_ridge_change,31776.084466478038,41092.609829969886,-0.7371149227019547,72
ridge_change,32365.603545732254,41160.37323159362,-0.7428487942324198,72
spline_ridge_change,32811.54837415274,41439.323001957855,-0.7665519166969037,72
rolling_ridge_change,33019.0833385755,43972.65883980105,-0.9891455139045426,72
polynomial_ridge_change,33082.74026929271,42960.74986127241,-0.8986495395936704,72
huber_change,34169.65509375134,44236.47825864349,-1.013085364454346,72
seasonal_naive,40506.541666666664,49476.85066088427,-1.5182868490182355,72
forecast_flow_identity,68966.31927606359,86352.94844743765,-6.671061127703682,72
