model,padd,padd_name,observations,mae_kb,rmse_kb,r2,nrmse
Persistence,1,East Coast,210.0,1046.5047619047618,1378.4925306808366,0.819761686899404,0.42454483049566866
Physical level MLR,1,East Coast,210.0,1249.794169757935,1688.1107577950636,0.7297036665362062,0.5199003110826091
Change MLR,1,East Coast,210.0,1077.7095183380916,1439.3057132553204,0.8035082239374733,0.4432739289226546
Seasonal ridge MLR,1,East Coast,210.0,1019.3132611388199,1370.0423753106775,0.8219646348221854,0.4219423718682618
Polynomial ridge (degree 2),1,East Coast,210.0,1201.0900778387822,1624.431377365153,0.7497114288750405,0.5002884878996912
Spline ridge (4 knots),1,East Coast,210.0,1037.223088923965,1361.3292534416985,0.8242219534322739,0.41925892544789795
Persistence,2,Midwest,210.0,4062.8380952380953,5272.925746996001,0.9348562809910071,0.2552326762171978
Physical level MLR,2,Midwest,210.0,4624.242206744782,5920.482648155318,0.9178734720912268,0.28657726341908796
Change MLR,2,Midwest,210.0,4127.1314770152385,5428.376684501335,0.9309586634544813,0.2627571817201555
Seasonal ridge MLR,2,Midwest,210.0,3835.783044722844,5155.855567700625,0.9377168279482513,0.24956596733478867
Polynomial ridge (degree 2),2,Midwest,210.0,4367.045490670249,5736.179894587995,0.9229070324988725,0.27765620378649486
Spline ridge (4 knots),2,Midwest,210.0,4053.39692209665,5335.8271506002475,0.9332927953122936,0.2582773793573617
Persistence,3,Gulf Coast,210.0,9163.090476190477,11773.132508466248,0.9890397127963975,0.10469139030313133
Physical level MLR,3,Gulf Coast,210.0,10897.002233926318,14354.30188217579,0.9837069638368513,0.12764417794458452
Change MLR,3,Gulf Coast,210.0,10112.431315523767,12832.139493661352,0.9869792495819959,0.1141085028295618
Seasonal ridge MLR,3,Gulf Coast,210.0,9569.996824603975,12132.146349426177,0.988361067448038,0.10788388457949609
Polynomial ridge (degree 2),3,Gulf Coast,210.0,12010.674038097362,17007.114980411996,0.9771282620717188,0.15123405016159966
Spline ridge (4 knots),3,Gulf Coast,210.0,9460.173376243436,12033.916998168823,0.9885487764306277,0.10701039000663608
Persistence,4,Rocky Mountain,210.0,759.2904761904762,963.6231850973402,0.9499502299470387,0.22371805929106686
Physical level MLR,4,Rocky Mountain,210.0,912.6335261569945,1148.0941288763001,0.9289535148450048,0.2665454654556991
Change MLR,4,Rocky Mountain,210.0,821.724928503617,1037.0682455823155,0.9420301364246999,0.24076931610007973
Seasonal ridge MLR,4,Rocky Mountain,210.0,780.9733635786059,994.2904327095097,0.9467138766015144,0.23083787253933374
Polynomial ridge (degree 2),4,Rocky Mountain,210.0,949.3421593653967,1208.745003301668,0.921248834732489,0.28062638020597974
Spline ridge (4 knots),4,Rocky Mountain,210.0,765.7261971000452,977.4329490969301,0.9485054158946048,0.22692418140294174
Persistence,5,West Coast,210.0,1898.8238095238096,2404.7683969266445,0.5840902192050978,0.6449106766017308
Physical level MLR,5,West Coast,210.0,1926.8696126675666,2447.801552767277,0.5690716824185558,0.6564513063292998
Change MLR,5,West Coast,210.0,2021.8253799326696,2594.2519757948107,0.515964812589297,0.6957263739507817
Seasonal ridge MLR,5,West Coast,210.0,2027.1606858692576,2670.788162665717,0.48698329456492917,0.716251844978476
Polynomial ridge (degree 2),5,West Coast,210.0,1854.7507317965433,2340.708658719132,0.6059536171359656,0.6277311389950593
Spline ridge (4 knots),5,West Coast,210.0,1950.6200068854039,2436.4207718341486,0.5730694736401326,0.6533992090291108
